,jobid,submissionTime,completionTime,status,numTasks,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages
0,4.0,2017-04-23T04:40:33.550GMT,2017-04-23T04:40:36.144GMT,SUCCEEDED,2.0,0.0,2.0,0.0,0.0
1,3.0,2017-04-23T04:40:32.066GMT,2017-04-23T04:40:32.407GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
2,2.0,2017-04-23T04:40:22.758GMT,2017-04-23T04:40:31.614GMT,SUCCEEDED,4.0,0.0,3.0,0.0,0.0
3,1.0,2017-04-23T04:40:17.204GMT,2017-04-23T04:40:21.845GMT,SUCCEEDED,4.0,0.0,2.0,0.0,0.0
4,0.0,2017-04-23T04:40:13.918GMT,2017-04-23T04:40:15.894GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
