,id,hostPort,isActive,rddBlocks,memoryUsed,diskUsed,totalCores,maxTasks,activeTasks,failedTasks,completedTasks,totalTasks,totalDuration,maxMemory
0,2,stack-0040.local:48054,True,2.0,24016.0,0.0,1.0,1.0,0.0,0.0,216.0,216.0,29135.0,384093388.0
1,driver,192.168.1.19:49053,True,2.0,24016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384093388.0
2,1,stack-0040.local:59109,True,1.0,20956.0,0.0,1.0,1.0,0.0,0.0,228.0,228.0,19585.0,384093388.0
