,jobid,submissionTime,completionTime,status,numTasks,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages
0,4.0,2017-04-23T04:57:17.093GMT,2017-04-23T04:57:20.039GMT,SUCCEEDED,2.0,0.0,2.0,0.0,0.0
1,3.0,2017-04-23T04:57:14.780GMT,2017-04-23T04:57:15.437GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
2,2.0,2017-04-23T04:57:01.932GMT,2017-04-23T04:57:13.423GMT,SUCCEEDED,4.0,0.0,3.0,0.0,0.0
3,1.0,2017-04-23T04:56:52.249GMT,2017-04-23T04:57:00.868GMT,SUCCEEDED,4.0,0.0,2.0,0.0,0.0
4,0.0,2017-04-23T04:56:47.445GMT,2017-04-23T04:56:49.978GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
