,jobid,submissionTime,completionTime,status,numTasks,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages
0,4.0,2017-04-21T18:56:30.531GMT,2017-04-21T18:56:33.323GMT,SUCCEEDED,2.0,0.0,2.0,0.0,0.0
1,3.0,2017-04-21T18:56:28.187GMT,2017-04-21T18:56:28.634GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
2,2.0,2017-04-21T18:56:11.994GMT,2017-04-21T18:56:27.161GMT,SUCCEEDED,148.0,0.0,3.0,0.0,0.0
3,1.0,2017-04-21T18:55:55.958GMT,2017-04-21T18:56:11.487GMT,SUCCEEDED,292.0,0.0,2.0,0.0,0.0
4,0.0,2017-04-21T18:55:50.870GMT,2017-04-21T18:55:53.635GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
