,jobid,submissionTime,completionTime,status,numTasks,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages
0,4.0,2017-04-23T01:35:08.619GMT,2017-04-23T01:35:14.081GMT,SUCCEEDED,2.0,0.0,2.0,0.0,0.0
1,3.0,2017-04-23T01:35:06.235GMT,2017-04-23T01:35:06.609GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
2,2.0,2017-04-23T01:34:32.962GMT,2017-04-23T01:35:05.295GMT,SUCCEEDED,4.0,0.0,3.0,0.0,0.0
3,1.0,2017-04-23T01:34:22.148GMT,2017-04-23T01:34:32.029GMT,SUCCEEDED,4.0,0.0,2.0,0.0,0.0
4,0.0,2017-04-23T01:34:18.235GMT,2017-04-23T01:34:20.553GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
