,id,hostPort,isActive,rddBlocks,memoryUsed,diskUsed,totalCores,maxTasks,activeTasks,failedTasks,completedTasks,totalTasks,totalDuration,maxMemory
0,driver,192.168.0.11:56808,True,3.0,55321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384093388.0
1,0,192.168.0.11:56820,True,3.0,55321.0,0.0,4.0,4.0,0.0,0.0,3069.0,3069.0,360793.0,384093388.0
