,jobid,submissionTime,completionTime,status,numTasks,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages
0,4.0,2017-04-21T17:48:39.864GMT,2017-04-21T17:48:43.526GMT,SUCCEEDED,2.0,0.0,2.0,0.0,0.0
1,3.0,2017-04-21T17:48:38.596GMT,2017-04-21T17:48:38.834GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
2,2.0,2017-04-21T17:47:29.568GMT,2017-04-21T17:48:37.887GMT,SUCCEEDED,1023.0,0.0,3.0,0.0,0.0
3,1.0,2017-04-21T17:46:29.114GMT,2017-04-21T17:47:28.995GMT,SUCCEEDED,2042.0,0.0,2.0,0.0,0.0
4,0.0,2017-04-21T17:46:22.716GMT,2017-04-21T17:46:24.509GMT,SUCCEEDED,1.0,0.0,1.0,0.0,0.0
